Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
52,639,156,24,0,488,433,10,73,159,19918,432,203,952,9,5738,216,83,10,955,697,290,867,45,401,0,246,0,102,310,20
19,4,3,25,0,6,4,10,1,71,243,41,65,25,74,79,66,19,25,14,59,24,47,1,0,0,0,0,2,1,4
2,18,4,7,0,7,25,1,24,3,256,31,23,7,4,136,73,27,6,10,14,12,28,0,5,0,0,0,0,3,0
49,3407,882,10,0,362,100,5,27,129,48768,3140,257,413,12,30000,969,2869,5,1976,3399,1376,2905,333,32,2,26,0,40,112,22
4465,1291,305,13705,32817,959,1644,3817,58231,20502,28127,44965,30821,1855,36496,14895,3778,2882,13243,3818,4320,5520,8584,43,160,0,179,1,801,818,630
1,19,5,7,0,7,21,1,22,3,294,33,20,7,4,156,83,32,6,9,15,13,31,0,6,0,0,0,0,3,0
1180,47040,9260,459,0,7038,21896,207,19549,8135,986406,32667,3763,39780,427,291691,19153,11455,248,20961,38653,46253,90836,6032,27719,10,9089,136,5753,6663,58
223,338,82,291,1711,44,200,512,21,496,3873,1810,1955,153,1618,2013,609,579,274,839,520,601,1024,5,17,0,12,2,32,57,26
144,3161,925,578,0,460,746,57,458,528,24575,3834,905,2129,276,24500,2781,3597,552,2438,4999,4403,6884,52,543,3,45,0,49,385,5
4863,1802,394,11605,39213,986,2097,3521,122393,22348,33015,42288,36162,2169,26219,17608,4715,3510,11196,4238,4887,6913,10963,63,200,37,191,37,800,861,680
87,36,9,63,988,23,31,75,1245,256,645,438,658,43,270,340,124,80,61,215,124,91,175,2,4,0,3,0,11,13,5
4,12,7,1,0,18,5,5,2,6,544,30,81,41,3,246,142,52,0,295,31,64,79,2,2,0,2,0,2,14,1
76,596,149,15,0,119,314,72,27,25,9312,937,1617,211,63,4557,1628,1474,13,1081,680,517,887,13,13,0,3,73,52,172,9
994,5292,1335,380,27,2292,1868,485,222,895,126847,9380,26294,4730,1532,34545,4749,7300,353,31518,10753,4650,7412,2594,224,291,47,246,1248,3509,573
91,472,154,224,0,168,492,80,205,190,6044,1154,1107,323,386,3130,1233,2088,223,559,1024,1029,1551,9,283,198,3,0,22,23,8
39,6009,1259,157,0,95,148,6,517,230,34279,7930,143,1377,270,30531,3974,3803,117,908,6572,2019,5231,45,179,0,38,0,25,161,3
0,4,2,0,0,1,0,0,1,0,57,9,0,2,1,31,26,7,0,4,7,2,4,0,0,0,0,0,0,0,0
88,15906,3776,318,0,295,572,27,265,136,75546,8408,956,4832,1655,86590,6594,6881,272,2452,16926,5156,12001,2311,1335,2,124,0,134,294,12
8859,682,187,2913,34408,898,1571,3159,2095,5576,13734,23512,19982,782,28893,5643,1709,1837,2826,2457,3069,2820,5540,10,83,36,113,43,461,661,359
566,30640,5837,180,0,901,1110,96,1990,1770,440461,18259,2345,15128,567,203710,22156,8997,93,12243,39376,23277,43220,1338,5743,5,204,32,145,900,235
171,512,144,206,24,403,569,327,396,2144,13096,3446,3141,439,1192,4804,1496,1664,182,1111,2606,1250,2432,16,69,136,12,0,30,84,39
5348,1925,433,5313,3585,653,3948,4116,80975,17656,31578,23073,20729,2633,26592,17166,4590,3502,5156,4182,6508,11129,17043,65,262,224,238,169,821,732,1440
12,7,4,14,0,6,5,8,2,72,332,35,49,30,46,119,126,35,13,21,71,26,51,1,1,0,1,0,2,1,3
47,655,157,50,0,103,754,18,949,85,8069,1269,588,367,19,4521,1703,995,41,730,964,1066,1562,25,224,0,3,0,96,36,13
1102,5746,1989,880,0,1104,618,964,105,1079,231012,25436,9252,2797,12623,48813,16060,18053,717,28813,20395,53786,59861,61,132,5,48,117,189,1497,1542
3284,590,174,3502,10315,553,522,1865,1967,4852,10158,16749,13457,465,11774,5831,1311,1438,3430,1646,2298,2055,3406,8,54,0,75,0,238,336,358
137,612,103,152,1,158,751,146,107,232,5989,1292,1615,195,539,3108,897,574,149,701,547,397,875,4,90,55,3,0,18,49,2
849,9493,2115,269,1,1307,2502,353,646,863,141549,10285,19300,4802,1113,48991,9022,9604,228,26257,13881,5877,9594,3551,216,2,71,224,1094,2201,431
123,5560,1552,57,0,1000,534,41,128,1720,145232,5477,912,2698,72,45549,2058,2083,48,3090,8290,10926,14815,179,754,13,404,0,497,463,10
209,1810,579,123,0,1189,2251,83,311,1860,77003,3863,3013,5413,118,20891,1390,1375,80,3970,6338,6832,9412,583,2245,5,1183,80,628,545,52
6,14,10,12,9,30,3,8,12,39,716,105,78,47,65,185,100,57,12,60,148,43,80,1,3,0,1,0,2,4,3
36,989,250,96,0,125,173,14,139,85,10956,1258,382,597,107,8812,697,600,76,552,1807,529,1407,8,89,0,4,0,20,68,2
17,208,48,31,0,56,300,12,329,24,3428,266,238,176,29,1465,1370,356,29,242,211,160,407,7,22,4,1,0,2,24,1
1516,345,144,1729,1388,1425,1974,1164,11329,1744,16775,7319,4741,623,8279,6106,2690,1209,1684,989,2426,1467,3200,15,214,84,142,14,204,568,118
6,400,175,1,0,23,45,2,2,38,13605,182,174,211,7,5271,1049,353,0,176,644,311,583,13,26,22,5,0,9,14,1
1278,531,209,1179,969,1323,2775,1702,11811,1396,20619,6622,5389,789,5250,7892,3368,1717,1141,1114,2923,1709,3652,25,278,163,148,1,169,495,92
192,428,107,339,11,240,2110,401,139,487,5159,1396,2877,174,3021,2542,321,679,314,764,1427,1267,2984,32,174,151,4,10,62,43,36
232,1546,386,1127,207,667,2904,263,636,1244,13616,4898,4359,1087,1014,10762,2884,4117,1024,3507,2048,2476,4607,39,476,22,10,0,74,188,15
2,17,4,7,0,8,23,1,26,3,248,31,25,7,4,131,77,26,6,11,13,12,28,0,5,2,0,0,0,3,0
958,148,49,1360,4479,313,550,872,6764,8614,6796,5952,5498,595,8684,2513,966,622,1325,2964,1509,1048,2105,13,59,0,45,761,154,169,121
40,1088,269,8,0,213,178,11,1,124,28927,2785,512,953,18,10543,843,688,5,1039,1052,1634,2674,42,214,0,113,0,55,77,3
23,255,94,2,0,30,64,5,1,134,10606,249,361,209,106,3388,484,237,1,189,654,230,461,3,27,0,4,3,9,13,1
82,3016,704,116,0,148,304,7,1154,442,41920,5160,309,1414,29,25653,3954,2367,98,2416,5553,2870,5111,82,115,4,36,0,33,168,17
54,262,69,14,0,111,233,92,13,37,6119,682,1488,150,73,2278,1217,733,12,802,517,344,613,8,8,0,3,1,62,150,15
185,11978,2727,109,0,1136,886,23,180,875,164547,9335,1120,8119,87,107728,6319,5471,79,6076,10918,9322,18174,170,4327,5,524,6,346,727,13
12729,2470,578,16917,99859,2921,1839,9424,45453,55979,65620,60860,53037,3985,69282,23999,7882,5940,16470,25738,16441,10733,18469,98,430,0,300,897,1290,1458,2476
938,505,139,4130,568,1824,440,1654,25,9491,14120,24590,9385,594,7435,6315,1525,1181,3957,2533,2763,4777,7967,19,109,100,5,338,111,311,234
21,760,141,61,0,13,384,29,444,10,6119,447,443,82,45,4105,2221,878,54,176,611,174,507,6,9,0,1,0,3,19,2
98,607,184,10,0,456,744,25,133,361,27295,1243,522,880,68,6622,456,149,7,1007,2100,3788,4861,34,387,50,156,8,285,213,26
1,6,3,1,0,4,6,0,3,3,109,11,5,44,1,139,5,6,1,3,27,8,22,2,11,0,2,0,1,2,0
88,623,132,18,1,355,411,66,117,846,18876,1596,1778,662,260,3419,257,586,16,888,2895,2016,2377,83,449,47,149,0,109,143,31
175,3173,975,106,0,976,802,25,66,1758,30263,5224,721,3752,23,33092,9925,4381,102,5475,7006,7180,10899,226,136,138,16,2,238,227,8
16,5,4,20,0,6,4,10,2,67,262,39,58,25,55,90,98,29,20,17,60,23,47,1,0,0,0,0,1,1,3
25,4352,853,77,0,52,55,6,50,39,22333,1632,161,1218,227,18515,1270,1922,61,360,2782,1054,2826,186,261,11,14,0,10,40,4
24,671,142,68,0,15,1015,19,428,13,5626,437,533,83,39,4009,2160,794,61,239,696,179,498,5,10,0,2,0,4,22,2
0,1,1,1,0,4,4,1,0,2,50,8,5,8,1,33,8,8,1,11,11,11,14,0,2,0,0,0,0,1,0
698,789,208,270,5,308,237,291,15,188,32186,2650,7295,300,792,5603,1322,2234,234,2151,2410,1423,1950,73,36,0,42,15,120,278,80
55,223,61,14,0,55,185,38,11,31,5098,476,1743,79,53,1760,650,609,13,332,389,261,390,3,4,0,2,6432,6,40,7
124,19,5,374,18,25,69,116,649,462,543,639,686,38,515,306,78,58,366,99,83,111,187,1,5,0,7,0,14,18,14
23,8,9,36,70,62,29,45,5,40,1042,459,148,74,310,234,122,70,36,86,193,73,112,2,5,0,2,0,7,13,17
53,3287,823,12,0,363,136,7,33,120,49462,2871,322,432,10,28971,881,2995,6,2291,3032,1477,2904,298,31,115,32,1,37,116,19
0,2,1,1,0,5,4,1,1,2,57,9,5,9,1,38,10,10,1,12,12,12,15,0,2,0,0,0,0,1,0
7,11,7,13,60,28,3,8,8,37,558,101,86,41,66,141,71,41,13,53,125,37,69,1,3,0,1,0,2,3,3
391,2694,875,487,4,1798,888,461,342,4034,79074,7014,5616,2872,512,33442,3340,3540,416,7932,26377,4396,7954,245,331,278,112,0,436,297,175
17432,10237,2715,23425,3032,11068,2688,17857,150,123350,294517,83561,100291,6749,121095,102344,35409,23412,22138,49185,67974,60481,87620,280,418,2632,110,86,945,1925,10641
27,38,27,5,0,81,43,9,17,49,2635,262,180,204,26,1215,352,359,3,1268,514,128,197,126,18,0,4,0,13,69,20
54,232,62,14,0,53,214,37,11,29,5153,459,1675,76,53,1830,687,627,13,324,391,271,401,3,4,0,2,6130,5,40,7
5985,2271,478,9738,22804,1352,2641,4361,117194,21418,38034,39133,39374,2329,21347,20796,5642,4116,9444,4768,5508,8046,12910,84,236,0,215,2,945,1056,654
3,8,4,1,0,21,5,4,1,25,316,32,26,12,2,214,90,30,1,75,72,18,38,4,1,0,1,0,2,5,3
850,160,42,831,4250,183,235,573,2050,1815,3711,4286,5195,241,7308,1532,372,489,804,957,770,767,1263,5,23,0,24,47,81,111,113
0,1,1,1,0,1,1,0,0,2,36,6,3,2,2,11,8,3,1,2,8,2,4,0,0,0,0,0,0,0,0
2136,950,267,585,9949,264,145,1745,2500,3738,13175,7292,10647,901,7207,6226,2035,1987,552,1577,2350,2033,3684,14,71,0,63,52,206,260,100
1,23,7,2,0,6,5,1,6,4,329,25,21,27,4,150,35,35,2,19,42,28,36,1,2,0,0,1,0,1,0
4721,1353,315,14230,32948,930,1698,3764,70048,20793,29030,45203,31246,1908,34764,15251,3884,2960,13748,3890,4398,5627,8734,46,164,54,181,0,803,822,635
1,16,4,3,0,7,5,1,9,1,237,54,17,5,2,135,59,30,3,11,18,15,30,1,2,0,0,0,1,2,0
31,99,30,65,0,69,36,61,247,296,2395,598,527,61,235,807,186,227,58,155,505,206,423,2,7,0,2,0,4,13,6
6902,729,196,10838,24569,805,1058,2476,6556,5545,12935,13353,22263,571,21842,5815,1714,1688,10613,1922,3168,2962,4774,9,60,0,96,1513,423,537,520
3,28,7,11,0,21,68,4,65,13,309,85,69,18,12,187,103,63,10,58,45,39,64,1,6,0,0,0,1,3,0
267,35857,10038,450,0,465,674,38,548,468,318239,21328,1247,11257,3478,264542,19319,24688,328,4869,35593,20107,44360,1375,5627,8,185,3,101,621,33
0,11,2,0,0,0,0,0,1,0,71,5,1,3,0,79,3,2,0,3,7,6,9,0,0,0,0,0,0,0,0
588,13404,2777,231,0,890,2272,225,1085,841,169009,10084,8335,4474,977,64696,14285,12125,174,21084,16503,6635,11203,2888,245,11,72,1143,782,1768,462
1727,6577,1514,12933,21,4485,16660,1815,2059,7184,72347,31114,37508,2702,27164,47078,26772,12176,10836,20634,16910,24013,36292,294,4592,121,354,14,922,1470,239
3719,744,260,1560,23954,577,567,2748,32158,7390,16885,16737,14533,1358,28591,7586,2923,2905,1484,4442,3179,3313,5569,34,113,0,107,0,337,434,759
4396,2705,621,4614,8049,614,4606,3767,51135,16781,40611,21504,18317,3155,18564,23292,6182,4764,4462,4595,7705,13095,20749,92,340,0,243,68,846,829,1476
4,8,4,1,0,15,4,7,3,8,426,26,105,28,3,156,79,34,0,211,24,41,53,1,1,0,2,0,2,13,1
2,17,4,4,0,5,6,1,6,6,253,29,16,3,4,144,55,27,3,15,18,12,26,0,3,0,0,0,3,2,0
4533,663,197,2602,6737,608,1102,3130,5104,7024,13201,19220,16583,930,31117,5882,1630,1727,2523,2461,2647,2760,4943,13,84,0,129,90,348,456,420
91783,26306,14824,222390,142187,85025,39355,103614,5703,625704,1289988,656565,826406,164001,1081215,406002,88235,102753,163748,141224,642943,152524,332205,3749,13442,11251,10170,1896,7008,23482,64305
735,12580,2223,527,5,671,1797,363,101,1327,128137,8458,15405,2390,1238,64842,15650,12290,410,5742,23765,5938,11166,141,165,59,66,269,369,427,312
5804,681,176,7948,44242,604,847,975,78042,13319,14464,16687,24236,935,21701,8120,2240,1546,7771,2771,4164,3010,5074,11,113,0,104,893,404,445,243
330,24322,5064,3166,0,983,745,81,1297,2162,163565,20534,1538,13639,1616,159827,10630,7571,2992,9362,21733,12909,28352,816,3206,101,423,14,209,877,28
33,990,187,4,0,386,394,2,70,345,21231,565,77,1573,6,8058,237,240,2,819,1045,886,1651,76,538,0,300,0,172,158,2
5,323,63,16,0,37,32,7,91,15,3309,289,87,113,30,1517,1899,1260,16,165,537,263,398,14,76,0,0,0,4,21,1
97,4054,829,64,0,266,713,66,465,45,37170,6610,258,1712,270,25823,1818,2548,52,1094,4374,1927,4113,26,561,3,20,0,12,98,4
74,25,9,47,238,37,11,63,12,258,673,367,702,35,299,244,52,67,38,72,339,124,226,1,4,0,1,0,4,9,32
1,8,3,4,0,3,14,1,19,1,130,18,8,2,2,70,24,20,3,6,8,8,16,0,7,0,0,0,0,2,0
1,12,4,1,0,3,2,0,11,0,187,12,3,3,1,120,20,9,0,11,11,9,18,1,1,0,0,0,0,0,0
314,24825,5148,3230,0,1088,717,74,1274,2017,161160,19722,1629,13283,1755,160035,11308,7837,3072,8873,20090,12699,27799,908,3400,23,347,18,204,825,27
23,41,28,21,0,63,41,20,13,44,1958,217,206,81,99,473,1074,214,21,95,426,69,134,3,1,7,1,0,3,24,3
100,1893,388,28,0,156,92,83,122,133,29299,1681,1778,404,131,7957,1364,2096,23,2571,2292,1160,1861,125,31,0,8,20,93,220,90
2645,380,108,1451,8957,341,454,1054,4162,2696,7425,8594,9960,443,6889,2842,863,954,1407,1393,1317,1487,2477,7,41,0,55,0,173,236,253
378,156,49,745,991,64,122,724,58,824,2922,2230,2711,117,3177,1167,354,458,717,838,490,597,990,3,14,0,12,0,36,53,45
39,968,197,14,0,56,262,20,63,44,14796,864,597,166,66,6547,757,1002,12,426,1112,530,851,83,13,0,3,9,33,86,146
399,129637,14040,1613,0,7780,746,57,206,3815,330433,104165,695,29611,3213,409993,8227,39972,1209,7701,47896,26006,54970,469,682,223,2026,0,399,1734,114
51,4155,826,69,0,138,146,6,97,188,46140,4281,223,1807,56,22274,1566,756,51,823,2744,870,2998,118,390,1,58,0,64,123,4
2228,247,83,3361,10799,329,382,1494,10488,11108,9978,10642,7585,810,17292,4703,1426,964,3242,2622,2532,2468,3998,11,95,0,67,6357,230,232,319
3,6,4,4,0,13,10,5,6,18,263,45,29,24,16,84,71,38,4,24,60,18,33,1,1,0,1,0,1,2,1
3497,751,234,2935,13917,536,630,1985,4608,4671,12250,15409,11769,585,9822,6835,1674,1632,2864,1868,2537,2296,3736,9,63,0,85,4,259,364,567
3982,3357,698,7869,16630,1371,3372,5538,34451,21164,51769,35082,40675,3015,17546,29331,7866,5884,7592,5710,6771,8264,14198,174,327,7,248,5,1043,1224,661
698,2172,648,98704,0,2460,893,895,104,3181,55084,10813,11825,3007,828,27277,2564,2734,98560,6803,22833,3955,6971,251,262,68,107,0,412,346,389
3,18,6,2,0,12,5,1,5,4,231,77,8,9,5,170,25,42,2,16,29,32,49,1,1,0,0,0,1,2,0
473,1608,342,304,457,1065,1234,255,53,1617,30338,4190,3633,6716,2162,9155,3132,2656,291,2592,9441,4368,5130,76,502,0,91,869,122,398,25
13,461,129,11,0,83,150,9,4,156,13498,520,396,211,39,5248,1360,230,4,283,1188,814,1277,7,72,0,151,1,25,60,6
736,1582,488,417,12,1092,513,1422,64,828,57522,7162,16442,1428,2160,11386,1840,3741,386,13154,4668,2542,4136,205,80,37,34,826,461,1067,470
124,76,22,160,53,89,135,67,12800,1067,2545,1257,929,363,984,1218,556,250,155,482,644,363,698,6,22,0,22,0,36,90,13
43,971,252,93,0,130,174,12,120,91,11326,1300,409,574,110,8869,709,596,75,587,1846,548,1433,9,92,1,3,0,19,72,2
1,3,2,1,0,6,4,2,3,8,145,20,11,12,5,49,33,15,1,11,25,10,16,0,1,0,0,0,0,1,0
13,498,115,6,0,39,45,1,3,51,8386,506,84,645,4,4161,325,143,1,465,685,776,1209,5,100,0,35,26,13,17,1
36,1082,277,2,0,134,216,8,9,297,25394,1047,261,1209,16,11552,930,461,1,843,1251,1764,2705,27,239,0,44,755,41,61,2
2,11,6,1,0,17,5,2,2,18,326,33,24,12,2,246,103,33,1,57,73,20,38,2,1,0,0,0,1,4,4
786,148,39,823,4022,185,224,559,592,1567,3386,3959,5095,208,7758,1391,319,446,795,864,748,714,1167,4,21,0,20,45,72,101,109
0,22,5,0,0,1,0,0,1,1,188,20,1,5,0,176,3,5,0,3,18,7,16,0,0,0,0,0,0,0,0
3901,653,164,6231,11334,1188,791,2335,11433,16302,18809,18235,20276,1453,21581,8640,2650,1789,6098,9360,3523,4314,6873,43,153,62,125,28,505,556,326
42,1792,263,17,0,87,57,5,52,74,20763,2982,157,704,57,10522,573,368,8,416,1616,359,1383,130,293,5,32,0,12,79,2
15,1319,243,87,0,41,808,7,518,27,7907,1248,264,299,80,5679,2926,1331,80,551,1494,972,1531,208,156,0,3,4,6,35,6
70,2861,615,9,0,253,199,6,11,107,57031,2474,223,1813,15,27241,1123,974,5,1547,2154,2087,4167,77,275,1,90,2,110,93,5
39,471,128,13,0,76,204,6,2,18,8230,671,617,154,11,3190,151,243,11,268,711,257,427,30,15,7,6,1,22,19,1
126,6549,1604,227,0,394,642,19,942,201,74607,6761,1185,4137,70,55028,4549,2800,168,4139,9654,3186,7413,495,718,3,137,0,178,428,15
3461,5532,1235,4510,456,4986,15622,1977,1578,29242,59699,38329,29728,3080,17488,46862,13471,12939,4070,8088,23265,9349,21297,219,1153,83,140,361,210,1000,1047
102,368,92,46,0,148,258,18,2,35,6480,1977,840,131,66,2586,104,222,44,366,922,307,621,10,11,0,5,2,20,33,3
57,529,173,189,0,174,463,72,341,157,6578,1107,926,351,270,3535,1462,2673,187,643,1145,1251,1794,9,343,18,3,0,23,23,7
12,7,4,15,0,6,5,9,2,75,321,36,51,30,49,114,120,33,14,21,70,26,50,1,1,0,1,0,2,1,3
178,13732,2883,109,0,1000,764,15,158,714,161196,10125,860,7772,155,108955,6840,4902,84,5014,10559,8958,17831,169,4325,3,465,13,279,680,11
47,630,197,155,3,181,406,63,534,151,7553,1052,759,369,210,4039,1737,3293,153,759,1272,1549,2132,11,380,2,4,0,23,24,6
486,707,130,786,31,254,942,200,2226,836,9252,1738,5083,340,2565,4010,999,670,770,1719,891,1642,2359,12,79,11,8,0,51,142,41
34,1672,437,36,0,49,196,8,50,39,10840,1164,293,534,219,11578,2487,2040,28,667,1605,661,1663,58,66,0,16,320,8,46,3
1,16,4,3,0,8,6,1,7,1,228,48,14,5,2,146,63,34,2,10,18,15,30,1,3,0,0,0,0,2,0
2224,3363,1062,1426,0,1410,247,1859,65,1658,156391,53216,27318,1888,34289,23951,7035,9847,1304,26592,15172,38840,43668,23,81,1,68,8,222,1482,2783
0,18,2,0,0,0,0,0,1,0,94,7,1,4,0,113,5,4,0,3,10,8,13,0,0,0,0,0,0,0,0
78,861,235,73,0,154,144,19,85,129,11357,1086,555,460,109,8598,695,560,61,571,1566,557,1391,4,65,0,3,0,23,65,5
0,2,1,1,0,4,4,1,0,2,54,8,4,8,1,35,9,9,1,11,11,11,14,0,2,0,0,0,0,1,0
3,3,2,0,0,6,11,0,3,6,112,13,18,52,1,100,5,3,0,5,25,6,19,1,10,0,2,0,1,4,0
255,1461,462,189,0,499,1013,114,144,803,21228,6187,1538,2385,318,16715,1607,1393,175,2111,2760,3457,5498,9,266,0,52,12,60,507,15
264,20801,4053,324,0,592,506,20,1749,654,127784,10847,873,3786,506,97068,10206,9967,186,6436,29823,9578,21315,840,440,33,68,15,127,272,18
0,22,5,0,0,0,1,0,3,0,122,14,1,8,1,180,7,10,0,9,29,10,20,0,1,0,0,0,0,0,1
121,137,37,192,4,94,470,51,5696,845,3253,1473,893,388,548,1868,954,397,188,560,616,389,736,7,26,0,18,0,40,103,8
141,309,56,20,1,394,218,53,185,701,13377,2893,1450,470,633,2097,358,436,9,398,497,1235,1493,30,203,1,67,20,49,280,84
3315,620,148,3158,10971,414,385,1351,69277,8977,12193,12310,13725,968,12571,7396,1951,1350,3061,1825,2024,3437,5077,23,94,11,78,0,296,317,332
4403,395,116,7953,3734,832,2049,2741,3714,18480,15698,20503,18188,1113,15507,6860,2252,1615,7806,3160,3483,3233,5138,18,121,0,217,1779,554,568,1024
6209,2351,497,9725,18263,1322,2722,4614,104354,21401,39458,38894,40325,2384,21006,21499,5823,4255,9436,4879,5624,8136,13111,92,243,0,220,6,965,1082,659
3,14,4,2,0,11,6,1,5,5,204,44,11,8,5,117,14,31,2,13,28,27,43,1,1,0,0,0,1,2,1
7971,239240,63853,12748,0,63152,15134,2761,17728,46072,4049045,178100,68958,126196,6452,2337453,140303,173650,9690,288937,1058374,151718,273718,8989,20181,1402,4616,213,30263,10851,4160
140,4601,1169,117,0,129,188,21,307,198,51094,3966,637,1883,43,36424,3657,1677,76,1716,6934,1454,4863,62,150,6,65,4,25,130,6
217,1629,446,464,5,319,1993,231,1362,751,27140,2010,3307,671,558,10808,2965,2280,426,2668,1937,2945,3915,53,151,0,10,0,49,144,43
18,1526,308,12,0,57,74,10,10,18,10259,595,147,537,64,8643,592,685,9,416,1929,253,879,55,49,7,7,0,9,25,1
2,117,32,4,0,4,8,1,9,3,1539,97,12,76,5,1059,61,61,4,69,186,98,189,16,20,0,1,0,1,3,0
9465,558,150,3049,29875,773,1262,2811,2827,4983,11444,20738,17398,640,30289,4502,1381,1530,2964,2032,2568,2526,4685,8,69,3,96,13,392,549,352
1113,116,41,1471,6054,311,273,948,12237,7852,5382,6175,5545,502,7259,2098,799,520,1431,2582,1316,916,1780,9,48,1,41,8,140,157,158
84,1936,754,12,0,304,388,34,71,330,87124,3070,392,2025,29,13925,2723,1155,6,1264,3623,2523,3935,57,221,5,149,0,142,156,5
4186,531,138,4328,14877,512,293,1361,68734,10051,11903,14661,14220,938,16776,7039,1897,1325,4194,1869,2038,3441,5083,20,89,59,83,2,326,345,510
144,5180,1489,60,0,1107,626,47,182,1941,151602,5888,1175,2795,98,45140,2017,2017,48,3161,9036,11204,15086,203,888,8,483,1,585,483,13
56,395,73,167,0,22,279,26,229,22,4551,463,840,37,189,2069,1185,452,158,116,350,149,382,3,4,0,1,27,4,20,3
2,13,3,3,0,4,3,0,10,1,175,24,12,2,3,80,40,16,3,7,7,9,17,0,3,0,0,0,1,2,0
48,697,153,7,0,329,596,13,193,441,24798,1085,343,755,34,5267,397,145,5,639,1795,3374,4224,40,300,0,193,1,257,159,9
6699,907,230,7374,54562,713,1772,1772,94661,19813,19821,20125,31131,1701,20063,11522,3211,2164,7197,4232,4734,3997,6768,20,164,0,143,1241,509,543,394
2753,958,226,3698,10192,862,901,2113,14825,12609,22606,13648,19349,1724,15703,11142,3507,2196,3587,8807,3657,5174,8277,65,188,113,114,36,435,506,257
56,363,83,15,0,77,1378,46,48,96,8826,647,1645,129,109,2932,436,621,13,387,695,358,567,28,11,0,3,878,35,135,166
552,9010,2308,1537,4,718,2242,450,1692,834,89434,24781,4872,4310,643,71641,9476,12676,1461,5801,16102,6414,13639,49,857,3,56,0,291,705,43
561,8710,2257,1614,4,737,1957,429,1620,861,89381,23776,5141,4283,651,70761,9627,12468,1536,5622,15961,6242,13363,46,860,14,59,0,305,731,45
170,2390,607,19,0,339,341,26,165,596,71986,1301,1102,4240,15,31280,1866,785,4,2329,5385,5951,9162,21,919,0,216,1,153,321,7
10,1521,369,9,0,47,31,2,10,28,9685,1527,85,446,51,9627,455,644,5,159,2366,381,1102,180,91,0,6,3,11,33,1
100,59,13,104,182,19,55,37,1,339,886,567,596,32,415,411,123,90,100,134,146,131,250,1,4,0,5,0,12,16,12
919,6914,1674,306,18,1768,2033,389,397,800,135005,9830,22225,4726,1268,39845,6802,8199,278,30327,12288,5535,8687,3467,203,80,60,367,1324,2795,466
917,1951,373,227,0,2747,1101,206,216,2715,76405,19992,8703,2066,3022,15336,2610,2866,55,2888,6546,7417,9065,48,994,0,135,0,340,1251,684
116,1526,318,28,0,186,99,103,70,146,25912,1604,2245,400,122,6653,1033,1739,24,2622,2069,1025,1646,106,28,0,8,0,101,234,82
232,40527,7630,4084,0,1013,551,47,490,1001,151427,20301,1382,11367,1321,188774,11781,11568,3943,4205,20374,10631,28107,1699,3664,25,389,295,222,649,18
141,5111,1165,152,0,113,213,20,506,205,50560,5514,541,1881,67,38763,3566,1849,115,1551,7644,1614,5308,75,205,0,63,0,22,140,6
2,36,9,10,0,22,98,5,77,12,352,90,62,22,10,228,119,85,9,64,55,48,77,1,8,0,0,0,1,3,0
0,5,2,1,0,3,3,0,1,1,116,11,2,8,2,80,27,24,1,6,17,13,19,0,2,0,0,0,0,0,0
8,533,108,3,0,58,79,1,55,39,7795,197,18,249,2,3809,141,250,1,112,284,297,593,115,250,0,73,2,7,75,0
96,1874,358,108,0,51,99,5,206,58,26169,2054,171,1327,97,16219,926,512,10,684,3743,964,2713,206,360,0,9,0,14,94,3
107,15,4,398,94,23,47,95,202,387,464,584,601,30,609,251,62,46,389,84,76,93,157,1,4,0,6,22,12,16,10
345,35229,7408,174,0,583,867,42,660,737,348711,17798,1565,12541,801,249281,19330,15633,99,7463,31780,22649,42859,1487,5823,9,176,6,104,648,65
21491,2996,757,26694,39036,2768,6368,13752,95326,60864,61553,77284,100060,5609,79435,29408,10148,8056,25772,10050,13248,17854,28099,127,548,0,778,625,3258,2215,2334
2,2,2,3,0,5,4,2,1,9,90,22,19,10,13,28,15,7,3,9,23,8,14,0,1,0,0,0,0,1,1
503,2847,744,167,0,719,554,867,244,524,68935,5423,12801,1523,762,15400,2861,4951,146,12077,5509,3053,4848,380,91,5,33,406,399,855,278
28,73,13,22,0,39,70,14,159,87,683,252,211,62,99,408,71,62,21,39,83,83,132,1,2,0,2,0,3,14,7
343,548,164,3551,34,358,4553,821,511,846,8125,11576,6861,816,5455,6485,2047,1433,3352,1143,1337,2929,5149,90,1510,14,8,25,95,181,4
530,2618,683,201,0,783,585,892,196,554,67142,5549,12900,1547,879,14377,2560,4605,178,12535,5353,2988,4747,364,90,22,33,577,417,898,303
3412,924,265,1881,10990,535,977,2254,4191,4602,14650,14130,11037,803,6898,8402,2014,1943,1822,2299,2821,2411,3978,17,80,0,98,8,285,401,278
