Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
1,10,5,1,0,4,2,0,15,0,211,12,4,4,1,124,20,10,0,13,11,10,19,0,1,0,0,0,1,0,0
5,139,65,4,0,31,22,1,2,7,2791,159,42,50,9,1179,512,224,3,207,363,117,269,10,7,0,9,0,2,8,1
35,5071,1107,103,0,113,118,4,26,130,39392,2772,132,1392,383,23628,1995,1221,82,516,3684,993,3160,236,470,4,82,0,29,97,3
1367,101170,20907,4704,0,3772,18979,634,15477,1191,908753,75438,14839,35851,4932,610949,75715,59027,4237,49318,160322,46713,96726,19039,9418,249,1405,66,1224,4190,264
695,253,69,506,4029,111,112,898,2157,1111,3991,2373,2802,235,3774,1773,572,590,480,498,532,922,1454,5,28,0,19,0,65,87,77
586,8016,2182,1903,5,893,2691,473,1829,1001,93054,20952,6218,4600,759,69686,9917,12360,1810,5504,15645,6171,13140,46,896,21,62,0,286,715,49
2558,790,222,839,10601,325,257,1687,3624,3928,11813,8450,11098,825,8538,5421,1780,1823,801,1556,2163,1912,3443,12,64,0,64,5,224,287,100
1137,1941,442,363,4,1236,2252,726,45,1565,52634,6534,17390,1375,2668,12083,5353,4792,334,5699,2759,1957,2805,395,38,0,39,14835,148,1159,209
904,540,148,3567,597,1767,451,1589,342,9774,14777,23977,9088,617,7140,6598,1610,1229,3412,2570,2845,4968,8245,20,114,0,5,484,107,300,230
29,1045,154,2,0,212,283,8,171,288,22990,934,211,654,9,6221,269,233,1,470,1015,3026,3808,27,484,0,257,0,195,146,1
120,18,5,384,19,24,65,113,528,449,524,631,665,37,545,294,74,55,375,97,82,108,181,1,5,0,7,0,14,18,13
539,18884,4843,200,0,431,600,70,581,702,287057,38841,2859,6199,132,169624,7770,4785,84,5556,37799,4997,21190,912,452,52,235,218,286,753,22
213,134,36,233,0,110,695,204,13744,3090,3960,2222,1620,646,2012,1898,1051,469,226,845,1209,368,839,5,30,0,27,0,47,118,29
5,8,3,35,0,38,3,28,0,51,332,40,224,12,50,98,28,45,29,21,99,20,32,0,1,0,0,0,0,6,3
5633,1048,283,10060,32158,869,1609,3041,6079,5814,16849,13746,28986,767,13222,7745,2330,2286,9831,2277,3972,2806,5354,14,82,0,116,233,482,634,395
591,7516,2081,1779,6,920,2544,399,1753,1045,91977,17874,6168,4394,760,67318,9715,11362,1693,5439,14803,5971,12632,42,999,19,94,0,278,717,55
4959,1091,309,4242,35100,846,1736,1836,4522,7392,19870,23240,18147,1346,14535,8576,2583,2467,4031,4777,2444,2631,5636,46,134,8,126,25,573,654,278
480,94710,11188,1377,0,6689,911,61,225,4265,305525,92832,877,32804,2553,372831,7756,34421,1060,9235,41666,25359,49487,450,679,50,1635,0,463,1824,176
19,407,88,1,0,30,73,3,52,112,5519,1568,75,489,22,4068,330,263,0,278,818,196,412,6,7,0,2,0,6,11,1
2875,655,210,1684,16515,472,449,2313,14635,6334,13493,13875,13109,1039,23589,6103,2187,2422,1611,3481,2850,2885,4859,27,96,0,84,0,267,343,595
26,4216,827,69,0,52,56,4,43,40,22044,1589,164,1233,210,18152,1277,1787,53,370,2718,1039,2777,190,264,13,10,0,10,40,4
65,128,38,20,0,171,333,59,5,518,7753,1118,965,586,111,3633,91,338,1,548,435,1132,1593,13,275,0,256,0,112,97,39
2281,1581,491,1690,143,1777,4379,4623,200,4047,55274,22260,24234,1433,5986,18015,3827,4945,1651,8054,6859,3413,6476,316,126,155,58,11829,494,460,2204
6,25,7,7,0,24,48,3,156,11,468,66,55,8,8,272,85,40,6,60,26,41,74,1,8,0,1,5,2,11,1
